Date,Open,High,Low,Close,Adj Close,Volume
2023-11-06,4.547000,4.612000,4.544000,4.609000,4.609000,0
2023-11-07,4.577000,4.586000,4.510000,4.538000,4.538000,0
2023-11-08,4.549000,4.556000,4.503000,4.522000,4.522000,0
2023-11-09,4.561000,4.651000,4.534000,4.640000,4.640000,0
2023-11-10,4.603000,4.668000,4.580000,4.666000,4.666000,0
2023-11-13,4.673000,4.723000,4.654000,4.663000,4.663000,0
2023-11-14,4.646000,4.648000,4.419000,4.421000,4.421000,0
2023-11-15,4.451000,4.549000,4.424000,4.526000,4.526000,0
2023-11-16,4.475000,4.475000,4.414000,4.428000,4.428000,0
2023-11-17,4.402000,4.476000,4.393000,4.455000,4.455000,0
2023-11-20,4.474000,4.481000,4.430000,4.441000,4.441000,0
2023-11-21,4.426000,4.454000,4.391000,4.419000,4.419000,0
2023-11-22,4.371000,4.473000,4.371000,4.440000,4.440000,0
2023-11-23,null,null,null,null,null,null
2023-11-24,4.499000,4.512000,4.482000,4.492000,4.492000,0
2023-11-27,4.474000,4.481000,4.413000,4.413000,4.413000,0
2023-11-28,4.396000,4.415000,4.286000,4.286000,4.286000,0
2023-11-29,4.228000,4.256000,4.188000,4.219000,4.219000,0
2023-11-30,4.214000,4.303000,4.207000,4.298000,4.298000,0
2023-12-01,4.263000,4.298000,4.134000,4.156000,4.156000,0
2023-12-04,4.184000,4.250000,4.180000,4.238000,4.238000,0
2023-12-05,4.189000,4.196000,4.128000,4.137000,4.137000,0
2023-12-06,4.152000,4.156000,4.109000,4.121000,4.121000,0
2023-12-07,4.164000,4.178000,4.095000,4.110000,4.110000,0
2023-12-08,4.178000,4.287000,4.176000,4.255000,4.255000,0
2023-12-11,4.288000,4.301000,4.243000,4.251000,4.251000,0
2023-12-12,4.193000,4.264000,4.167000,4.227000,4.227000,0
2023-12-13,4.211000,4.214000,3.962000,4.003000,4.003000,0
2023-12-14,3.906000,3.942000,3.853000,3.910000,3.910000,0
2023-12-15,3.899000,3.975000,3.886000,3.930000,3.930000,0
2023-12-18,3.902000,3.954000,3.891000,3.948000,3.948000,0
2023-12-19,3.900000,3.941000,3.900000,3.933000,3.933000,0
2023-12-20,3.880000,3.920000,3.872000,3.874000,3.874000,0
2023-12-21,3.856000,3.896000,3.813000,3.882000,3.882000,0
2023-12-22,3.846000,3.903000,3.841000,3.879000,3.879000,0
2023-12-25,null,null,null,null,null,null
2023-12-26,3.894000,3.903000,3.870000,3.875000,3.875000,0
2023-12-27,3.856000,3.858000,3.789000,3.795000,3.795000,0
2023-12-28,3.812000,3.859000,3.802000,3.847000,3.847000,0
2023-12-29,3.868000,3.887000,3.823000,3.840000,3.840000,0
2024-01-01,null,null,null,null,null,null
2024-01-02,3.940000,3.948000,3.896000,3.926000,3.926000,0
2024-01-03,3.955000,3.987000,3.882000,3.891000,3.891000,0
2024-01-04,3.952000,3.987000,3.947000,3.973000,3.973000,0
2024-01-05,4.017000,4.093000,3.919000,4.008000,4.008000,0
2024-01-08,4.021000,4.024000,3.919000,3.956000,3.956000,0
2024-01-09,4.000000,4.007000,3.956000,3.979000,3.979000,0
2024-01-10,3.944000,3.986000,3.933000,3.981000,3.981000,0
2024-01-11,3.938000,4.012000,3.891000,3.893000,3.893000,0
2024-01-12,3.918000,3.925000,3.800000,3.832000,3.832000,0
2024-01-15,null,null,null,null,null,null
2024-01-16,3.897000,3.967000,3.867000,3.944000,3.944000,0
2024-01-17,3.988000,4.047000,3.988000,4.025000,4.025000,0
2024-01-18,4.004000,4.057000,4.003000,4.049000,4.049000,0
2024-01-19,4.044000,4.111000,4.044000,4.072000,4.072000,0
2024-01-22,4.026000,4.033000,4.003000,4.017000,4.017000,0
2024-01-23,4.053000,4.065000,4.039000,4.051000,4.051000,0
2024-01-24,4.009000,4.092000,3.989000,4.083000,4.083000,0
2024-01-25,4.063000,4.098000,4.009000,4.017000,4.017000,0
2024-01-26,4.009000,4.066000,3.993000,4.061000,4.061000,0
2024-01-29,4.012000,4.019000,3.988000,3.993000,3.993000,0
2024-01-30,3.984000,4.033000,3.957000,3.997000,3.997000,0
2024-01-31,3.946000,3.951000,3.853000,3.882000,3.882000,0
2024-02-01,3.849000,3.849000,3.749000,3.799000,3.799000,0
2024-02-02,3.832000,4.021000,3.832000,3.993000,3.993000,0
2024-02-05,4.072000,4.135000,4.065000,4.121000,4.121000,0
2024-02-06,4.096000,4.114000,4.026000,4.042000,4.042000,0
2024-02-07,4.066000,4.068000,4.002000,4.061000,4.061000,0
2024-02-08,4.091000,4.126000,4.084000,4.124000,4.124000,0
2024-02-09,4.140000,4.163000,4.086000,4.151000,4.151000,0
2024-02-12,4.114000,4.154000,4.112000,4.128000,4.128000,0
2024-02-13,4.116000,4.318000,4.114000,4.318000,4.318000,0
2024-02-14,4.295000,4.311000,4.224000,4.245000,4.245000,0
2024-02-15,4.211000,4.238000,4.163000,4.217000,4.217000,0
2024-02-16,4.272000,4.342000,4.270000,4.288000,4.288000,0
2024-02-19,null,null,null,null,null,null
2024-02-20,4.260000,4.263000,4.219000,4.251000,4.251000,0
2024-02-21,4.235000,4.312000,4.231000,4.303000,4.303000,0
2024-02-22,4.330000,4.355000,4.290000,4.331000,4.331000,0
2024-02-23,4.316000,4.343000,4.269000,4.285000,4.285000,0
2024-02-26,4.273000,4.336000,4.268000,4.327000,4.327000,0
2024-02-27,4.285000,4.331000,4.271000,4.322000,4.322000,0
2024-02-28,4.289000,4.313000,4.273000,4.273000,4.273000,0
2024-02-29,4.315000,4.325000,4.226000,4.262000,4.262000,0
2024-03-01,4.257000,4.287000,4.152000,4.159000,4.159000,0
2024-03-04,4.197000,4.218000,4.185000,4.210000,4.210000,0
2024-03-05,4.171000,4.171000,4.110000,4.138000,4.138000,0
2024-03-06,4.136000,4.145000,4.075000,4.117000,4.117000,0
2024-03-07,4.098000,4.117000,4.064000,4.084000,4.084000,0
2024-03-08,4.057000,4.127000,3.994000,4.062000,4.062000,0
2024-03-11,4.060000,4.101000,4.060000,4.088000,4.088000,0
2024-03-12,4.087000,4.167000,4.067000,4.155000,4.155000,0
2024-03-13,4.178000,4.192000,4.165000,4.186000,4.186000,0
2024-03-14,4.199000,4.299000,4.192000,4.296000,4.296000,0
2024-03-15,4.292000,4.340000,4.292000,4.322000,4.322000,0
2024-03-18,4.333000,4.368000,4.322000,4.356000,4.356000,0
2024-03-19,4.342000,4.351000,4.299000,4.303000,4.303000,0
2024-03-20,4.292000,4.306000,4.235000,4.242000,4.242000,0
2024-03-21,4.205000,4.271000,4.200000,4.253000,4.253000,0
2024-03-22,4.205000,4.209000,4.191000,4.200000,4.200000,0
2024-03-25,4.221000,4.244000,4.203000,4.233000,4.233000,0
2024-03-26,4.226000,4.262000,4.223000,4.225000,4.225000,0
2024-03-27,4.211000,4.216000,4.176000,4.188000,4.188000,0
2024-03-28,4.235000,4.242000,4.195000,4.220000,4.220000,0
2024-03-29,null,null,null,null,null,null
2024-04-01,4.232000,4.346000,4.232000,4.338000,4.338000,0
2024-04-02,4.373000,4.394000,4.343000,4.354000,4.354000,0
2024-04-03,4.370000,4.414000,4.331000,4.338000,4.338000,0
2024-04-04,4.354000,4.361000,4.290000,4.292000,4.292000,0
2024-04-05,4.313000,4.386000,4.303000,4.368000,4.368000,0
2024-04-08,4.450000,4.454000,4.407000,4.434000,4.434000,0
2024-04-09,4.393000,4.402000,4.365000,4.377000,4.377000,0
2024-04-10,4.354000,4.621000,4.352000,4.615000,4.615000,0
2024-04-11,4.632000,4.648000,4.562000,4.623000,4.623000,0
2024-04-12,4.551000,4.573000,4.515000,4.533000,4.533000,0
2024-04-15,4.624000,4.698000,4.622000,4.645000,4.645000,0
2024-04-16,4.660000,4.725000,4.638000,4.682000,4.682000,0
2024-04-17,4.678000,4.684000,4.602000,4.617000,4.617000,0
2024-04-18,4.621000,4.693000,4.621000,4.686000,4.686000,0
2024-04-19,4.639000,4.679000,4.632000,4.657000,4.657000,0
2024-04-22,4.692000,4.692000,4.643000,4.661000,4.661000,0
2024-04-23,4.689000,4.689000,4.598000,4.622000,4.622000,0
2024-04-24,4.667000,4.685000,4.655000,4.667000,4.667000,0
2024-04-25,4.659000,4.753000,4.625000,4.717000,4.717000,0
2024-04-26,4.710000,4.723000,4.664000,4.692000,4.692000,0
2024-04-29,4.652000,4.669000,4.634000,4.639000,4.639000,0
2024-04-30,4.644000,4.723000,4.643000,4.723000,4.723000,0
2024-05-01,4.698000,4.723000,4.598000,4.614000,4.614000,0
2024-05-02,4.621000,4.655000,4.563000,4.567000,4.567000,0
2024-05-03,4.542000,4.558000,4.413000,4.482000,4.482000,0
2024-05-06,4.471000,4.499000,4.455000,4.483000,4.483000,0
2024-05-07,4.478000,4.480000,4.434000,4.471000,4.471000,0
2024-05-08,4.492000,4.504000,4.480000,4.501000,4.501000,0
2024-05-09,4.522000,4.524000,4.457000,4.460000,4.460000,0
2024-05-10,4.486000,4.520000,4.483000,4.518000,4.518000,0
2024-05-13,4.502000,4.504000,4.472000,4.499000,4.499000,0
2024-05-14,4.492000,4.552000,4.456000,4.458000,4.458000,0
2024-05-15,4.426000,4.433000,4.340000,4.356000,4.356000,0
2024-05-16,4.350000,4.403000,4.338000,4.399000,4.399000,0
2024-05-17,4.413000,4.445000,4.408000,4.441000,4.441000,0
2024-05-20,4.443000,4.477000,4.443000,4.457000,4.457000,0
2024-05-21,4.450000,4.463000,4.420000,4.436000,4.436000,0
2024-05-22,4.477000,4.484000,4.445000,4.473000,4.473000,0
2024-05-23,4.459000,4.555000,4.448000,4.526000,4.526000,0
2024-05-24,4.542000,4.558000,4.521000,4.528000,4.528000,0
2024-05-27,null,null,null,null,null,null
2024-05-28,4.501000,4.594000,4.494000,4.588000,4.588000,0
2024-05-29,4.592000,4.656000,4.580000,4.642000,4.642000,0
2024-05-30,4.613000,4.620000,4.562000,4.572000,4.572000,0
2024-05-31,4.576000,4.583000,4.498000,4.528000,4.528000,0
2024-06-03,4.484000,4.489000,4.408000,4.417000,4.417000,0
2024-06-04,4.377000,4.382000,4.328000,4.352000,4.352000,0
2024-06-05,4.350000,4.373000,4.306000,4.306000,4.306000,0
2024-06-06,4.315000,4.334000,4.289000,4.292000,4.292000,0
2024-06-07,4.311000,4.457000,4.301000,4.456000,4.456000,0
2024-06-10,4.468000,4.493000,4.463000,4.484000,4.484000,0
2024-06-11,4.441000,4.466000,4.415000,4.418000,4.418000,0
2024-06-12,4.402000,4.409000,4.241000,4.302000,4.302000,0
2024-06-13,4.307000,4.307000,4.216000,4.234000,4.234000,0
2024-06-14,4.205000,4.245000,4.196000,4.226000,4.226000,0
2024-06-17,4.275000,4.308000,4.272000,4.300000,4.300000,0
2024-06-18,4.308000,4.312000,4.224000,4.234000,4.234000,0
